1,2
не,260
і,232
а,202
што,143
як,134
я,113
з,112
ж,104
у,103
на,88
так,80
дык,70
ты,67
гэта,64
ды,54
ці,54
пане,52
калі,52
вось-цо-да,51
ужо,49
але,49
собственно,48
ну,48
толькі,46
дабрудзею,46
каб,44
будзе,43
яшчэ,43
усё,39
трэба,38
за,36
мяне,36
то,35
пан,35
тудэма-сюдэма,34
ён,31
вось,31
мне,31
яго,30
да,29
можа,28
тут,28
адольф,27
каханенькая,26
добра,26
родненькая,26
жа,25
глупства,25
такі,25
паўлінка,24
там,24
хоць,22
цяпер,22
нічога,22
ім,21
мы,21
нас,20
аб,20
было,20
хто,19
раз,19
бы,18
мае,18
мой,18
цябе,18
трохі,17
усе,16
б,15
гэтак,14
чаго,14
бо,14
кажа,14
гэтага,14
сягоння,13
гэтым,13
тое,13
дзе,13
татка,12
будзем,12
пад,12
заўтра,12
са,12
лепей,12
гэты,12
мая,12
праўда,12
па,12
ёсць,11
зараз,11
панна,11
каханенькі,11
буду,11
сабе,11
табе,11
любіць,11
пана,11
родненькі,11
проша,11
прыйдзе,11
гэтай,11
праз,10
яму,10
тады,10
быкоўскі,10
каго,10
нам,10
